name,company
Andrew Hoffman,
John Ilibassi,Viking Management
Scott Donner,
Michael Kerr,M&R Management
Barry Rudofsky,Bronstein Properties
Kenneth Fishel,Renaissance Properties
Aaron Sirulnick,Ditmas Management Corp
Nathan Fishman,
Zachary Kerr,M&R Management Company
David Parks,GPG Properties
Rubin Pikus,Milbrook Properties
Alistair Economakis,
James Wacht,Lee & Associates NYC LLC
Paul Brensilber,Jordan Cooper LLC
David Diamond,Diamond Property Group
Barry Fishman,
Nicholas Petras,Stone Properties Group
Jordan Platt,Kaled Management Corp
Matt Engel,Langsam Property Services
Bruce Kafenbaum,BIK Equities
Matthew Schmelzer,Tryax Realty
Jeff Manocherian,Manocherian Brothers
Jeff Farkas,
Anita Gupta,Douglas Elliman Real Estate
Francine Schiff,Beekman Street Realty LLC
Daniel Benedict,Benedict Realty Group
Mark Engel,Langsam Property Services
