name,company
Aaron Sirulnick,Ditmas Management Corp
N Richard Kalikow,Gamma Real Estate
Michael Laub,Laub Realty
Lennard Katz,Katz Realty Group
Christopher Athineos,
Michelle Bengelsdorf,Rose Associates
Helen Daniels,
Douglas Durst,The Durst Organization
Mark Engel,Langsam Property Services
Matthew Engel,Langsam Property Services
John J Gilbert III,Rudin
Lawrence Gluck,Stellar Management
Alexander Goldstein,
Brett Greenberg,Jack Resnick & Sons
Andrew Hoffman,Hoffman Management
Gary Jacob,Glenwood
Michael Kerr,M&R Management
Jeffrey Manocherian,Manocherian Brothers
Roger Melzer,
Howard Milstein,Milstein Properties
Mickey Napolitano,BLDG Management
Adam Parkoff,Parkoff Organization
Robert Nelson,Nelson Management Group
Oscar Perez,
Matthew Schmelzer,Tryax Realty
William Schur,Schur Management Co
Jimmy Silber,
Joanna Wong,
Joseph Zitolo,Lemle & Wolff
Laurie Zucker,Zucker Donald
