"Michelle Adams","Tishman Speyer Properties LP","http://www.tishmanspeyer.com"
"Scott Alper","The Witkoff Group","http://www.witkoff.com"
"Barry Altshuler","Equity Residential","https://www.equityapartments.com/"
"J. Dean Amro","The Brodsky Organization","http://www.brodsky.com"
"Gary Barnett","Extell Development Company","http://www.extelldev.com"
"Bruce Beal","Related Companies, L.P.","http://www.related.com"
"Albert Behler","Paramount Group, Inc.","http://www.paramount-group.com"
"Lawrence Benenson","Benenson Capital Partners, LLC","http://www.benensoncapital.com"
"Leonard Boxer","Stroock & Stroock & Lavan LLP","http://www.stroock.com"
"Megumi Brod","Rockefeller Group Development Corporation","http://www.rockefellergroup.com"
"Daniel Brodsky","The Brodsky Organization","http://www.brodsky.com"
"Ben Brown","Brookfield Properties","http://www.brookfieldproperties.com"
"Donald Capoccia","BFC Partners","http://www.bfcnyc.com"
"John A. Catsimatidis","Red Apple Group","https://ragny.com/"
"Ric Clark","WatermanClark, LLC","https://watermanclark.com/"
"Charles Cohen","Cohen Brothers Realty Corporation","http://www.cohenbrothersrealty.com"
"Jerry L. Cohen","Cohen Jerry L",
"Lawrence J. Cohen","Pembroke Companies, Inc.",
"Douglas D. Durst","The Durst Organization","http://www.durst.org"
"Helena Durst","The Durst Organization","http://www.durst.org"
"Douglas Eisenberg","A&E Real Estate Holdings","http://www.ae-re.com"
"Philip Eisenberg","Urban American","http://www.urbanamerican.net"
"Abigail Black Elbaum","Ogden CAP Properties, LLC","http://www.ogdencapproperties.com"
"H. Henry Elghanayan","Rockrose Development Corp.","http://www.rockrose.com"
"Justin Elghanayan","Rockrose Development Corp.","http://www.rockrose.com"
"K. Thomas Elghanayan","TF Cornerstone Inc.","http://www.tfcornerstone.com"
"Jeremy Farell","The LeFrak Organization","http://www.lefrak.com"
"Jeffrey J. Feil","The Feil Organization","http://www.feilorg.com"
"Harold A. Fetner","Fetner Properties Inc","http://www.fetner.com"
"John Fish","Suffolk","http://www.suffolk.com"
"Winston Fisher","Fisher Brothers","http://www.fisherbrothers.com"
"Michael Franco","Vornado Realty Trust","https://www.vno.com"
"Bess Freedman","Brown Harris Stevens Residential Sales LLC","http://bhsusa.com"
"Robert L Freedman","Colliers International NY LLC","http://www.colliers.com"
"Bertram French","Cushman & Wakefield Inc","http://www.cushmanwakefield.com"
"Brennan Gilbane Koch","Gilbane Building Company","http://www.gilbaneco.com"
"MaryAnne Gilmartin","MAG Partners LP","http://www.magpartners.com"
