,corp_name,org_amt,election_year
217,SRCC,150500.0,2018|2019|2020|2021
214,SICC,140000.0,2018
45,DSCC,137500.0,2018|2019
35,DACC,109600.0,2018
145,JAMES FOR NY,87500.0,2018|2019|2021
226,WOMENS EQUALITY PARTY,75000.0,2018
4,ANDREW CUOMO 2018,55000.0,2018|2019
38,DEMOCRATIC ORGANIZATION OF QUEENS COUNTY,51000.0,2018|2019|2021
153,KATZ NYS,49500.0,2019|2021|2022
219,SUFFOLK COUNTY DEMOCRATIC COMMITTEE,42500.0,2018|2019|2020|2021
89,FRIENDS OF JAMES SKOUFIS,40600.0,2018|2019|2020|2021|2022
65,FRIENDS FOR KATHY HOCHUL,39600.0,2018|2020|2022
155,KENNEDY FOR SENATE,35000.0,2018|2019|2020|2021|2022
193,PETE HARCKHAM FOR SENATE,29800.0,2018|2019|2020|2022
178,NEW YORKERS FOR LEROY COMRIE,26000.0,2018|2019|2021
106,FRIENDS OF LUIS R. SEPULVEDA,26000.0,2018|2019
165,MALONEY FOR NEW YORK,25000.0,2018
52,ELIJAH FOR SENATE,24300.0,2020|2021|2022
103,FRIENDS OF KEVIN PARKER,23500.0,2018|2019|2020|2022
2,ADDABBO FOR SENATE,23000.0,2018|2019|2021
157,KINGS COUNTY DEMOCRATIC COUNTY COMMITTEE,20500.0,2020|2021|2022
211,SEPULVEDA FOR SENATE,19800.0,2019|2020|2022
37,DAVID CARLUCCI FOR NEW YORK,19000.0,2018|2019
132,GAUGHRAN 2020,18800.0,2019|2020|2021
171,NASSAU COUNTY DEMOCRATIC COMMITTEE,17500.0,2019|2020
225,VALESKY FOR SENATE,16500.0,2018
195,RACC,16000.0,2018|2019
131,GAUGHRAN 2018,16000.0,2018|2019
5,ANDREW CUOMO FOR NEW YORK,15500.0,2019|2021
205,SAVINO FOR NEW YORK,15500.0,2018
222,TONY AVELLA FOR NEW YORK,15500.0,2018
18,BRONX DEMOCRATIC COUNTY COMMITTEE HOUSEKEEPING,15000.0,2018
42,DINAPOLI 2018,15000.0,2018
140,HINCHEY FOR NY,14800.0,2020|2021
114,FRIENDS OF MONICA MARTINEZ,14800.0,2018|2019|2020
159,LAURA AHEARN FOR SENATE,14300.0,2020
104,FRIENDS OF KEVIN THOMAS FOR SENATE,14300.0,2019|2020|2021
204,SANDERS FOR SENATE,13500.0,2018|2020|2021
207,SEAN RYAN FOR SENATE,12800.0,2020|2021
98,FRIENDS OF KAREN SMYTHE,12550.0,2019|2020
174,NEW YORK STATE CONSERVATIVE PARTY,12500.0,2018|2019
166,MANNION FOR STATE SENATE,12000.0,2020|2021|2022
25,CITIZENS FOR DILAN,12000.0,2018
91,FRIENDS OF JEREMY COONEY,11800.0,2020
40,DICKENS FOR NEW YORK,11600.0,2018|2019|2020|2021|2022
81,FRIENDS OF DEAN MURRAY,11000.0,2018
69,FRIENDS OF ANDREA STEWART-COUSINS,11000.0,2018
150,KAMINSKY 2018,11000.0,2018
215,SIMCHA NY,11000.0,2018
149,JULIE KILLIAN FOR STATE SENATE,11000.0,2018
20,CATHY YOUNG FOR SENATE,11000.0,2018
9,ANNIE RABBITT FOR SENATE,11000.0,2018
15,BOYLE FOR SENATE,10500.0,2018|2020
186,NYSABPRL,10000.0,2019
17,BRONX COUNTY DEMOCRATIC COMMITTEE,10000.0,2021
216,SPEAKER HEASTIE PAC,10000.0,2018
183,NORTHEAST BROOKLYN DEMOCRATIC CLUB,10000.0,2018
209,SENATE REPUBLICAN CAMPAIGN COMMITTEE,10000.0,2018
206,SCHNEIDERMAN 2018,10000.0,2018
29,CITIZENS FOR TOM BASILE,10000.0,2018
49,ELEANOR ROOSEVELT CONFERENCE COMMITTEE,10000.0,2020
16,BRONX  DEMOCRATIC COUNTY COMMITTEE,10000.0,2021
111,FRIENDS OF MARTY GOLDEN,9500.0,2018
7,ANNA KAPLAN FOR NEW YORK SENATE,9300.0,2020|2022
212,SERINO4NY,9000.0,2018
34,CUSICK FOR ASSEMBLY,8900.0,2018|2019|2020
179,NEW YORKERS FOR SAVINO,8750.0,2020|2021
87,FRIENDS OF JAMAAL T. BAILEY,8500.0,2018|2019|2021
92,FRIENDS OF JESSE HAMILTON,8500.0,2018
213,SHELLEY MAYER FOR SENATE,8500.0,2018|2019|2020
144,JACOBS FOR STATE SENATE,8250.0,2018|2019
19,CARLUCCI FOR NEW YORK,8000.0,2018
191,PERALTA FOR SENATE,8000.0,2018
146,JEFF KLEIN EXCELSIOR,8000.0,2018
203,RORYS COMMITTEE,7500.0,2019
61,FRED AKSHAR FOR OUR FUTURE,7500.0,2018|2021
8,ANNA KAPLAN FOR NEW YORK STATE SENTATE,7500.0,2019
152,KAMINSKY FOR NEW YORK,7500.0,2019|2020
48,ELAINE PHILLIPS FOR STATE SENATE,7000.0,2018
142,INDEPENDENCE PARTY CHAIRMANS CLUB,7000.0,2018|2019
79,FRIENDS OF DAN QUART,7000.0,2019|2020|2021
135,GEORGE AMEDORE FOR SENATE,7000.0,2018
160,LAURA AHEARN FOR STATE SENATE,6750.0,2020|2021
67,FRIENDS OF ALICIA HYNDMAN,6150.0,2018|2020|2021
177,NEW YORKERS FOR KIM,6150.0,2018|2019
108,FRIENDS OF LUIS SEPULVEDA,6000.0,2018
44,DINAPOLI 2022,6000.0,2019|2021
50,ELEANOR ROOSEVELT LEGACY COMMITTEE,6000.0,2019|2020
86,FRIENDS OF JAMAAL BAILEY,5500.0,2018|2019|2021
68,FRIENDS OF AMY PAULIN,5450.0,2019|2020|2021
198,RE-ELECT ASSEMBLY MEMBER LATRICE WALKER,5400.0,2018|2022
189,PEOPLE FOR MAGNARELLI,5400.0,2018|2019
84,FRIENDS OF EDWARD BRAUNSTEIN,5250.0,2018|2021|2022
96,FRIENDS OF JOHN BROOKS,5000.0,2020|2021|2022
139,HEVESI FOR ASSEMBLY,5000.0,2018|2019
185,NYS INDEPENDENCE PARTY,5000.0,2018
88,FRIENDS OF JAMAL BAILEY,5000.0,2018
184,NYS CONSERVATIVE PARTY,5000.0,2018
208,SENATE INDEPENDENCE CAMPAIGN COMMITTEE HOUSEKEEPING,5000.0,2018
43,DINAPOLI 2018 INC.,5000.0,2018
